,COMMENTS
127,台灣是鬼島啊，很不安全的國家，沒事就有畜牲喜歡隨機殺人，反正殺人也不會有事國家會養你，聽到要賠償两手一攤說沒錢就沒事了，反正只要死得不是狗官跟廢物議員等等之類的都沒事，這就是我們的鬼島，不知道誰說很安全的國家
128,台灣政府敢嗎？此殺人犯送馬來西亞受審，這民進黨她敢放人嗎？？？真讓台灣百姓產生懷疑。
129,寵民進黨寵到無法無天的縣市寵到連當街擄人這種大案都敢吃案治安根本擺爛
130,心痛！判絞刑剛好而已
131,Edward Liang 但這ㄧ定也肯定不會是死刑的！
132,一些毒販，土匪強盜，殺人強姦犯~務必嚴查重判，人民生命財產才有保障
133,這種垃圾在台灣永遠會活的好好的，台灣法官不認為性侵殺人有多惡劣。兇手請說清楚，你到底是對死者做了什麼？怎麼做的。？自己看看自己你有多令人作嘔
134,因為你這個爽一時的敗類，害了台灣的型像毀在你手裡，要爽台灣電線桿很多，不用大費周章把人性侵，殺害
135,台灣丟臉丟到國外，台灣應還給家屬一個公道，該一命還人家一命
136,這男的 真是台灣之恥
137,這位*神經病*殺手丟盡台灣人民的臉～
138,換大陸人就沒事啦。 可憐臺灣人。
139,台湾司法够烂，下一个应该是总统菜英文被强奸，然后犯人也一样没事
140,耖他媽台灣，怎麼不快兩岸統一？
141,支持梁姓兇嫌引渡到馬來西亞審判接受絞刑台灣司法已經沒有救了
142,Flash Chan
143,台灣……是犯人的天堂，有恐龍法官在沒死刑的地方，不要給我說安全 ！恐龍法官一定又說可教化…媽的！
144,幹你娘 台灣 ~
145,殺人償命，唯一死刑！
146,我來嘞他，我最會了
147,总桶那会心痛又不是他女儿儿子亲人
148,好痛😭😭😭😭
149,該開啟死刑了
150,Suen Jye Kon
151,Lao Melon so saddd
152,殺人者該死
153,没當過媽的人那知失去兒女痛？
154,多麼讓人心痛的事⋯⋯一直發生
155,兇手引渡馬國處理
156,邵御齊
157,聽媽媽在哭心好痛
158,難過
159,怎麼有這麼沒良心的人
160,幹 那個人連垃圾都不如 憑什麼活著 有夠生氣
161,撕心裂肺的痛......😭
162,廢死團體怎不出來說說話？
163,有過立委過半的政黨都是垃圾政黨，都是這些年殺人犯的幫兇，早就該修法殺人直接死刑，這麼多年來殺警察殺小孩的，最後法院判決都是怎樣⋯⋯只是殺人犯越來越多而已⋯⋯
164,恐龍法官廢死聯盟看到沒？去你媽的畜生帶回去自己養啊！幹
165,🙏心痛難過，這2020年到底怎么了
166,哭的我好痛
167,拜託引渡到馬來西亞去，用嚴刑伺候！我們應該用嚴刑治國才對啊，台灣真的該檢討一下！治安不好真是丟臉到國際了！
168,可憐
169,有病的人就沒罪 啊被殺死的就有罪喔 真的可憐 有病的人就應該去投胎啊希望下輩子不要又有病啊
170,好難過，可惡兇手，判死刑
171,不不不，台湾如果有死刑就没有人权了，在这民主自由的地方是行不通的。
172,节哀。。。
173,請大馬帶走吧！去那邊處置
174,請落實法律，不要一直用道德的面子跟國際接軌
175,撕裂了爸媽的心肝啊⋯⋯
176,法律用來保護畜生的
177,看到都心酸，一个好好的孩子说没有就没有了，要让父母怎么办？
178,希望可以重判
179,鄭鈺真 看到媽媽哭成這樣
180,李曼達 真的 真的別再可教化 看到都心痛 何況媽媽😣😣
181,真的很難過
182,死形
183,母親的心頭肉！請節哀！
184,藍若云😢
185,南無阿彌陀佛🙏
186,人都已經死了⋯還是姦殺⋯一命換一命吧🤮 台灣法律硬起來吧！
187,聽到哭聲 也跟著流淚😭 好難過😢😢
188,揪心⋯⋯痛啊⋯
189,ManHou Kuan 😢
190,當司法讓人民失望，私刑就是唯一正義
191,人渣！！！ 丟臉
192,台灣好對不起他們😭
193,心都碎了
194,唯一支持死刑
195,心痛！鍾媽媽節哀保重
196,法官 聽到了嗎 死者的媽媽希望可以 絞刑！！！
197,Nino Chou 宋神1996年就預言人心才比武肺更黑😈😈 
198,張萬城
199,最該下台的綠淫小陰，小陰拿到總統位置後，台灣人的命就不值錢，
200,廢屎團體⋯還不趕快出來跳舞了
201,心酸啊！
202,真的是社會垃圾
203,Doris Liew 宋神1996年就預言人心才比武肺更黑😈😈 
204,🥺我都哭了
205,要隔離嗎？
206,最該下台的綠淫小陰，小陰拿到總統位置後，台灣人的命就不值錢，
207,有頭有臉才能有這樣待遇 如今天是平民百姓應該就……
208,好難過啊！怎麼撐下去呢
